Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks
/ru/post/579916/,"android,signalr,kotlin","Kotlin,Разработка под Android",False,,Winged90,0,0,0,1400,4
/ru/post/579842/,"архитектура приложений,android,MVI,архитектура","Kotlin,Разработка под Android",False,,dmitrii_shkudov,1,0,0,4000,14
/ru/post/579164/,"валидация,android,kotlin","Kotlin,Разработка под Android",False,,blagochinnoved,0,0,0,397,14
/ru/company/funcorp/blog/578640/,"mobile,microbenchmarks,Блог компании FUNCORP,test,jetpack,anroid,kotlin,performance,бенчмарк,производительность","Тестирование мобильных приложений,Kotlin,Разработка под Android,Разработка мобильных приложений",True,funcorp,kota1921,0,0,0,2300,36
/ru/post/578826/,"обработка текстов,лемматизация,морфологический словарь,aot,kotlin,русский язык,морфологический анализ,lemmatization,java,морфология","Kotlin,Java,Natural Language Processing,Поисковые технологии,Программирование",False,,Reformat,12,0,0,13000,65
/ru/post/578716/,"kotlin native,ios,kotlin multiplatform,kotlin,kotlin multiplatform mobile","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,anioutka,0,0,0,2000,24
/ru/post/578416/,"android,adapter,recyclerview","Kotlin,Разработка под Android",False,,bsod_keks,2,0,0,1000,15
/ru/company/r_k/blog/578386/,"Блог компании r_keeper,мобильные приложения,разработка под android,flutter,разработка под ios,разработка приложений,мобильная разработка,разработка,kmm","Kotlin,Разработка под Android,Разработка мобильных приложений,Flutter",True,r_k,SergeiArsyonov,33,0,0,5800,17
/ru/post/561962/,"Kotlin,swift,bug,classloader,jvm,recursive,java,compiler","Kotlin,Отладка,Java,Компиляторы,Ненормальное программирование",False,,LonelyDeveloper97,7,0,0,2300,17
/ru/post/577680/,"android,ripple,kotlin,imageview,customview","Kotlin,Разработка под Android",False,,KiberneticWorm,11,0,0,3700,22
/ru/post/577488/,"kotlin multiplatform,kotlin multiplatform mobile,concurrency,kotlin native","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,anioutka,0,0,0,3800,21
/ru/post/577464/,"android,kotlin native,ios,kotlin multiplatform,kotlin multiplatform mobile,concurrency","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,anioutka,0,0,0,3800,24
/ru/post/577076/,"android,recyclerviewadapterholder,kotlin,recyclerviewadapter,recyclerview","Kotlin,Разработка под Android",False,,apteem,0,0,0,397,13
/ru/post/576946/,"android,recyclerview,kotlin","Kotlin,Разработка под Android",False,,bsod_keks,2,0,0,1400,8
/ru/post/571434/,"Dagger,DI,Android,Hilt","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,a_brazhkin,0,0,0,10000,6
/ru/company/yandex/blog/575846/,"kotlin multiplatform,Блог компании Яндекс,kotlin native,многопоточность","Совершенный код,Kotlin,Разработка мобильных приложений,Разработка под iOS",True,yandex,vasilevgenij,9,0,0,4300,25
/ru/post/576342/,"android development,recyclerviewadapter,recyclerview","Kotlin,Разработка под Android",False,,bsod_keks,5,0,0,455,17
/ru/company/yota/blog/575874/,"android,gradle kotlin dsl,Блог компании Yota,сборка,gradle","Kotlin,Разработка под Android,Groovy & Grails,Gradle",True,yota,Sistein,1,0,0,4200,43
/ru/company/hh/blog/575996/,"interoperability,kotlin native,swift,Блог компании HeadHunter,kotlin,multiplatform,interop","Kotlin,Разработка под Android,Разработка под iOS,Swift",True,hh,Ztrel,0,0,0,18000,8
/ru/post/575804/,"mobile development,android,kotlin,coroutines,kotlin lessons,android development,kotlin coroutines","Kotlin,Разработка под Android",False,,alyxe,2,0,0,1000,22
/ru/company/funcorp/blog/534462/,"faiss,Kotlin,вектор,Блог компании FUNCORP,Java,GitHub,open source,картинки,Python,мобильная разработка,разработка,дубликаты изображений,поиск,Milvus","Kotlin,Python,Разработка мобильных приложений,Поисковые технологии",True,funcorp,nerumb,6,0,0,66000,26
/ru/post/533952/,"iOS,android,многопоточность,kotlin multiplatform,kmm","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,anioutka,13,0,0,2200,39
/ru/post/533864/,"iOS,android,многопоточность,kotlin multiplatform,kmm","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,anioutka,0,0,0,2200,43
/ru/company/otus/blog/533728/,"Блог компании OTUS,бэкенд,kotlin","Kotlin,Программирование",True,otus,MaxRokatansky,0,0,0,7400,18
/ru/company/redmadrobot/blog/532306/,"mobile development,tdd,приложения,гайд,unit-testing,Блог компании red_mad_robot,android development,автоматизация тестирования","Kotlin,Разработка под Android,Разработка мобильных приложений",True,redmadrobot,sW1ft,5,0,0,2400,68
/ru/company/otus/blog/532270/,"Блог компании OTUS,backend,kotlin","Kotlin,Программирование",True,otus,MaxRokatansky,5,0,0,7400,7
/ru/company/otus/blog/532066/,"android,android dev,dagger 2,android app development,Блог компании OTUS,dependancy injection","Kotlin,Разработка под Android,Разработка мобильных приложений,Программирование",True,otus,MaxRokatansky,2,0,0,3500,16
/ru/company/otus/blog/531628/,"backend,kotlin,Блог компании OTUS,api,stateflow","Kotlin,Программирование",True,otus,MaxRokatansky,4,0,0,1800,20
/ru/company/JetBrains/blog/531692/,"spring boot,jetbrains,Блог компании JetBrains,kotlin,gcp,server-side,apache kafka,webinar","Kotlin,Конференции",True,JetBrains,advertka,2,0,0,2600,16
/ru/post/531166/,"android,databinding,algorithms,kotlin,recyclerview","Kotlin,Разработка под Android",False,,syncended,6,0,0,397,18
/ru/company/epam_systems/blog/530824/,"Kotlin,слуховое восприятие,ember,BrainUp,тренировка восприятия речи,Блог компании EPAM,TestContainers,Brain-up,развитие речи,social,open-source","Kotlin,Ember.js,Open source,Телемедицина",True,epam_systems,ElenaSpb,3,0,0,1900,14
/ru/company/otus/blog/530606/,"android studio,android development,Блог компании OTUS,kotlin","Kotlin,Разработка под Android,Программирование",True,otus,MaxRokatansky,3,0,0,1000,22
/ru/post/530376/,"android,kotlin,view,frontend,shadows,тени","Kotlin,Разработка под Android",False,,shikleev,7,0,0,2200,54
/ru/post/529944/,"android,coroutines,kotlin","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,mmarashan,40,0,0,3700,52
