Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks,Text of the article
/ru/company/timeweb/blog/545620/,"nft,ethereum,Блог компании Timeweb,timeweb,cryptocurrency","Криптовалюты,Финансы в IT,Обработка изображений,Дизайн",False,timeweb,tw_community,19,0,0,8100,34,"У вас тоже накопилось много вопросов к этому новому виду… искусства? Платформе?

Новости о блокчейне всегда заставляют нас задуматься: «Эм… А что здесь происходит?». Именно такое чувство я испытал, читая, как Граймс получает миллионы долларов за цифровые рисунки и видео в виде NFT-токенов или как анимацию Nyan Cat продали на блокчейн-аукционе за 43 млн рублей.



Начнем с основ. Что такое NFT? Как расшифровывается эта аббревиатура?

NFT (Non-fungible token) — не-взаимозаменяемые токены.

Спасибо, но понятнее не стало. 

«Не-взаимозаменяемый» более или менее понятно. Это означает, что токен уникален и не может быть заменен чем-то другим. Например, биткойн взаимозаменяем: обменяйте один биткойн на другой, и вы получите то же самое. Однако уникальная коллекционная карточка не является взаимозаменяемой. Если бы вы обменяли одну карточку на другую, у вас была бы совершенно другая коллекция. Вы отдали карточку с покемоном «Squirtle» и получили бейсбольную карточку «Honus Wagner T206» 1909 года, которую на сайте StadiumTalk называют «Мона Лиза бейсбольных карточек». Поверим на слово!

Как это работает?

Большинство NFT-токенов являются частью блокчейна Ethereum. Ethereum — это криптовалюта, такая же как биткойн или dogecoin, но ее блокчейн поддерживает и NFT-токены. Они хранят дополнительную информацию, которая заставляет эти токены работать иначе, по сравнению с криптовалютой ETH. Стоит отметить, что другие блокчейны могут реализовывать свои собственные версии NFT. Кстати, некоторые уже это сделали.

Что стоит купить в NFT-супермаркете?

NFT-токены — это что угодно, но обязательно цифровое. Например, рисунки, музыка, ваш мозг, скачанный и превращенный в искусственный интеллект. Но настоящий ажиотаж был связан с использованием этой технологии для продажи именно цифрового искусства.


Dogecoin — это не NFT. Но эта гифка с Dogecoin — уже NFT

То есть люди могут купить мои крутые твиты?

Не думаю, что кто-то сможет препятствовать их продаже, но я не совсем это имел в виду. Многие говорят о NFT как об эволюции коллекционирования изобразительного искусства — коллекционирование цифрового искусства.

Неужели люди думают, что это действительно превратится в коллекционирование произведений искусства?

Я уверен, что некоторые люди на это надеются. Например, тот, кто заплатил почти 390 000 долларов за 50-секундное видео Граймс, или человек, заплативший 6,6 миллиона долларов за видео художника Beeple. Это правда крутой художник, одно из его произведений выставлено на аукционе «Кристис» (Christie’s).


Yoink! 
Изображение: Beeple

Вы скажете, что можно щелкнуть по видео Beeple правой кнопкой мыши и загрузить себе файл, за который какой-то человек заплатил миллионы долларов.

Как грубо! Но да, именно в этот момент становится немного… странно. Вы можете скопировать цифровой файл сколько угодно раз, включая те самые произведения, которые продаются как NFT.

Но NFT предназначены для того, чтобы дать вам то, что нельзя скопировать: право собственности на произведение (хотя художник по-прежнему может сохранять авторские права и права на воспроизведение, как и в случае с реальными произведениями искусства). Если говорить в терминах коллекционирования изобразительного искусства: любой желающий может купить копию картины Моне. Но только один человек будет владеть оригиналом.

Не хочется обидеть художника Beeple, но его видео все-таки не Моне.

А что вы скажете про Gucci Ghost за 3,600 долларов?


Последний был продан за 3,600 долларов, но нынешний владелец просит за него уже 16,300 долларов

Кроме того, если бы у меня был Моне, я бы обладал им как физическим объектом, мог потрогать. В цифровом искусстве копия ничем не уступает оригиналу.

А как же само право обладать оригинальным Beeple?..

И в чем смысл, спросите вы.

Это зависит от того, кем вы являетесь: художником или покупателем.

Например, я художник.

Во-первых, это круто! Возможно, вас заинтересует NFT, потому что это дает возможность продавать работы, для которых до настоящего момента не существовало рынка и спроса. Если вам в голову пришла действительно крутая идея для digital-стикера, что вы собираетесь делать? Продать его в iMessage App Store? Не делайте этого!

Обратите также внимание на особую функцию NFT, которую вы можете подключить: тогда вам выплачивается процент каждый раз, когда ваша работа будет продана или перейдет из рук в руки. Это гарантия, что вы получите часть прибыли, если произведение станет суперпопулярным и вырастет в цене.

Я покупатель.

Одним из очевидных преимуществ покупки произведений искусства является то, что это позволяет финансово поддерживать художников, которые вам нравятся. Покупка NFT также дает некоторые права на использование работы, такие как возможность опубликовать изображение в Интернете или установить его в качестве фотографии вашего профиля. Плюс, конечно, шанс похвастаться тем, что вы владеете произведением искусства с записью в блокчейне.

Нет, я имел в виду, что я коллекционер.

Отлично! NFT могут работать как любой другой спекулятивный актив, когда вы покупаете что-то и надеетесь, что стоимость однажды вырастет, чтобы вы могли продать это с прибылью. Хотя я чувствую себя нечестным, говоря об этом.

Итак, каждый NFT уникален?

В скучном, техническом смысле каждый NFT — это уникальный токен в блокчейне. Приобретение NFT может быть похоже на покупку Ван Гога, когда есть только одна окончательная и реальная версия картины. Но, на самом деле, NFT может представлять собой и коллекционную карточку, когда есть 50 или 100 пронумерованных копий одного и того же произведения искусства.

Кто будет платить сотни тысяч долларов за то, что по сути является коллекционной карточкой?

Это как раз то, что делает всю историю с NFT такой непонятной!

Некоторые люди относятся к NFT как к коллекционированию будущего. Читать: как к игровой площадке для мегабогатых. Другие считают NFT карточками с покемонами. То есть они доступны для обычных людей, но также являются и игрушкой для мегабогатых. 

Не продолжайте! Мне не нравится всё это.


Вы активировали мою карту-ловушку. Ее продали за 17,000 долларов. 
Изображение: Логан Пол

Логан Пол, американский видеоблогер, например, продавал клипы, которые представляют собой просто отрывки из его видеоблогов, за 20,000 долларов. Вы можете посмотреть их на YouTube в любое время. В виде NFT он также продал карточки с покемоном по имени Логан Пол.

Кто заплатил 20,000 долларов за видео с Логаном Полом?

Видимо, тот, кто может себе это позволить, верно?

Было бы забавно, если Логан Пол решит продать еще 50 копий того же самого видео.

Майк Шинода из Linkin Park (который также продал несколько песен в виде NFT) тоже говорил об этом. По его словам, это мог бы сделать только «беспринципный нечестный придурок». В общем, нужно быть осторожным и смотреть, у кого вы покупаете NFT.

Могу ли я купить эту статью как NFT?

Нет, но технически всё цифровое можно продать как NFT. deadmau5 продает цифровые анимированные стикеры. Уильям Шетнер продавал коллекционные карточки на тему Шетнера (одной из которых, по-видимому, был рентгеновский снимок его зубов).


Это мне нравится!
Изображение: deadmau5 и Mad Dog Jones

Фу, гадость! Я правда могу купить чьи-то зубы как NFT?

Были попытки привязать NFT к реальным объектам в качестве своеобразного метода проверки. Компания Nike запатентовала метод проверки подлинности кроссовок с помощью системы NFT, которую назвали CryptoKicks. Но зубов я пока не нашел. И не хотел бы на это смотреть!

Смотреть? Где?

Появилось несколько торговых площадок, которые позволяют людям покупать и продавать NFT. Среди них: OpenSea, Rarible и Nifty Gateway (выбор Граймс), но есть и множество других.

Я слышал, что-то о котятах. Расскажите мне про котят.

NFT-токены стали технически возможными, когда блокчейн Ethereum добавил их поддержку как часть нового стандарта. Конечно, одним из первых использований таких токенов стала игра CryptoKitties, которая предлагала пользователям торговать и продавать виртуальных котят. Спасибо, Интернет!

Люблю котят!

Не так сильно, как человек, заплативший за одного котенка более 170,000 долларов.


Мое лицо, когда я стою 170 тысяч долларов. 
Изображение: Cryptokitties.co

О боже, что происходит!

У меня такие же эмоции. Но, на мой взгляд, котята демонстрируют один из самых интересных аспектов NFT (для тех из нас, кто не хочет создавать коллекцию цифрового искусства) — это то, как NFT-токены можно использовать в играх. Уже появились игры, где можно использовать NFT в качестве предметов. В одной даже продаются виртуальные земельные участки в виде NFT. У игроков будет возможность купить уникальное игровое оружие, шлем или что-то еще как NFT. Мне кажется, это то, что должны оценить люди. 

Какой музей нужно ограбить, чтобы украсть NFT?


Это изображение не является NFT. Пока не является! 
Изображение: «Невероятные приключения Уоллеса и Громита: Неправильные штаны» (The Wrong Trousers)

Это как посмотреть! Отчасти привлекательность блокчейна заключается в том, что он хранит записи о каждой транзакции, что затрудняет кражу или мошенничество. Тем не менее, криптовалюты крали и раньше, поэтому это действительно будет зависеть от того, как хранится NFT, и сколько работы потенциальная жертва готова приложить, чтобы вернуть свое имущество.

Примечание: Пожалуйста, не воруйте!

Стоит ли мне беспокоиться о том, каким будет цифровое искусство через 500 лет?

Наверное, стоит. Bit rot — это реальное явление: портится качество изображения, некоторые форматы файлов больше не открываются, сайты падают, люди забывают пароль к своим кошелькам. Но физическое искусство в музеях также очень хрупко!

Могу ли я купить NFT за криптовалюту?

Да, наверное. Многие торговые площадки принимают Ethereum. Но технически каждый человек может продать NFT и запросить любую валюту, какую захочет.

Будет ли торговля моими NFT-токенами способствовать глобальному потеплению и таянию ледников Гренландии?

Это как раз то, на что стоит обратить внимание. Поскольку NFT используют ту же технологию блокчейна, что и криптовалюты, они также могут потреблять достаточно много электроэнергии на транзакцию. Спасибо людям, работающим над устранением этой проблемы. Я совсем не хочу поджечь весь мир из-за CryptoKitties.

Могу ли я построить подземную пещеру или бункер для хранения своих NFT?

Что ж, как и криптовалюты, NFT хранятся в цифровых кошельках (стоит отметить, что кошелек обязательно должен быть NFT-совместимым). Однако вы всегда можете поместить кошелек на компьютер в подземном бункере.

Вы устали столько раз печатать слово «NFT»?

Да."
/ru/post/564676/,"nft,криптовалюта","Криптовалюты,Финансы в IT",True,,cryptolawyer,0,0,0,2000,28,"NFT — одна из самых обсуждаемых тем в криптосообществе, которая стала настолько популярной, что привлекла немало внимания и за его пределами. Единственная проблема заключается в том, что очень немногие знают, что такое NFT и как это работает на самом деле.Пришло время пролить свет на NFT и глубоко погрузиться в детали того, как они работают, и сколько обмана может быть в сфере NFT.Публикация основана на эксклюзивном переводе статьи: «NFT Madness — What they are and what they are not. Why they're great, and why they suck» для моего telegram-канала Clawed Project.Давайте начнем.Что такое NFT на самом деле?Всем известна аналогия с предметами коллекционирования. К сожалению, эта аналогия в лучшем случае совершенно неадекватна, а в худшем — явно вредна.NFT (Non Fungible Tokens, не взаимозаменяемый токен) как термин означает, что каждый цифровой токен в сети уникален. Каждый токен содержит небольшое количество данных, которые уникальны для данного токена. Вот и все. Это просто небольшие контейнеры данных, которые перемещаются по блокчейну между адресами.Сейчас у NFT на блокчейне Ethereum есть ряд особенностей, благодаря которым именно они являются весьма популярными. Также вероятно, что в других сетях будут реализованы некоторые или все подобные функции, если они еще не реализованы.Адрес создателя NFT сохраняется как часть NFT. Таким образом, информация о текущем владельце NFT является публичной.В токене NFT может быть установлен процент роялти. Когда NFT затем торгуется в любой момент времени между любыми двумя адресами ETH, роялти от этой «продажи» будет перенаправляться на адрес создателя токена.Теперь, прежде чем мы пойдем дальше, важно понять еще один аспект. NFT очень и очень малы. Хранить реальные данные в блокчейне, даже такие маленькие, как jpg размером 64x64, непомерно затратно. В большинстве NFT будет храниться всего несколько байтов данных. Например, серийный номер или URL.Короче говоря, NFT — это, по сути, уникальный клочок бумаги с серийным номером, паролем или веб-адресом.Чем NFT не являютсяNFT — это не цифровые хранилища медиаконтента. Они не хранят цифровой контент (файл) в блокчейне. Если вы покупаете NFT изображения или песни, на самом деле вы получаете токен с URL-адресом песни или изображения, размещенный на случайном веб-сервере.NFT не препятствуют копированию, изменению, удалению или любым другим действиям в отношении любых цифровых или физических объектов, на которые они ссылаются.NFT по своей сути не предоставляют права собственности и не удостоверяют авторские права на какие-либо активы, с которыми они связаны.Давайте еще раз сделаем краткое резюме: NFT — это просто уникальные торгуемые клочки бумаги с небольшим количеством нацарапанной на них информации.У NFT есть несколько потенциальных способов действительно что-то значитьNFT может разблокировать функции при подключении к внешней системе. Пример — проект NBA Topshot. Токен имеет ценность благодаря взаимодействию с внешней системой, чтобы отображать «спортивный момент», который находится на веб-сайте. Если сайт закроется, токены немедленно станут бесполезными, так как достум к «моментам NBA» теряется. То же самое с CryptoKitties. Если сайт падает, токены CryptoKitty бессмысленны и не работают. В обоих случаях NFT — это просто торгуемый серийный номер, который связан с «моментом» или «котиком» на серверах владельцев проектов. Еще один пример: NFT, которые могут быть отправлены в приложение, которое затем сжигает (уничтожает) их в обмен на отправку вам какого-либо физического товара, например, футболки.Создатель цифрового объекта (или физической вещи) может продавать законные права на него вместе с NFT. Нет гарантии, что продавец NFT владеет правами на связанный объект. Чтобы юридически передать права/собственность, нужно оформить юридически значимый договор. Для крупных объектов, как дом или бизнес, потребуется значительная юридическая работа и оформление документации. Если вы хотите купить право собственности на актив с NFT, вы должны убедиться, что продавец является правообладателем и он дает письменное согласие на продажу вам прав вместе с NFT и прилагает всю документацию, если она требуется. Однако нет причин, по которым вы не можете продать права собственности независимо от NFT в будущем. Короче говоря, в настоящее время ничто юридически не связывает NFT с владением цифровыми правами.Уникальные / секретные данные. В этом случае NFT содержит уникальные данные, видимые только адресу, которому он принадлежит, например, URL-адрес или пароль к секретному клубу. Если у покупателя есть основания полагать, что информация все еще секретна, покупка NFT становится способом ее получения. Проблема очевидна — это интернет, ничто не остается секретом надолго, и нет гарантии, что создатель или предыдущие владельцы не разгласили секретную информацию.Обман с использованием NFTКак вас могут обмануть с помощью NFT:Покупка NFT для владения связанным с ним объектом, когда продавец изначально не владеет объектом.Покупка NFT для владения объектом без фактического получения юридически подтверждаемых оформленных прав на объект.Покупка NFT для владения объектом и получение неисключительных прав (вместо исключительных прав), что означает, что автор может продолжать чеканить бесконечное количество NFT для этого же объекта.Покупка «коллекционного» NFT, после чего сайт/сервер/система с контентом, на который ссылается NFT, перестает работать или исчезает.Покупка NFT для инвестиций, при этом у NFT установлена непомерная (50–100%) выплата роялти. Это означает, что большая часть или вся выручка от ваших инвестиций поступает создателю, а не вам, когда вы перепродаете NFT.Покупка арта/прочего вместе с NFT, после чего URL-адрес хоста цифрового контента упал (или его злонамеренно изменили), так что ваш NFT больше не не ссылается на объект, который вы купили. (Но, по крайней мере, у вас все еще есть права собственности, если вы не попадаете под пункты №1 и №2).Где применимы NFT прямо сейчас?Самая большая реальная история успеха NFT на данный момент — проекты CryptoKitties, CryptoPunks, TopShot и т. д. То есть, когда веб-сайт/приложение могут взаимодействовать с NFT, чтобы показывать вам контент в качестве доказательства владения этим контентом в рамках сайта/игры.  NFT имеют большой потенциал для проектов с торговлей игровыми предметами, поскольку компания-разработчик игры может выпускать игровые предметы с определенной ставкой роялти (например, 1%) и всегда получать прибыль, если игра и торговля набирает обороты. NFT также могут служить сувенирами на мероприятиях, то есть вам может быть выдан токен за посещение концерта в качестве доказательства того, что вы там были. NFT подходят для продажи цифровых билетов. Их нельзя напрямую скопировать/клонировать, и даже если они будут перепроданы на вторичном рынке, вы получите роялти (до тех пор, пока люди не начнут обходить роялти и просто не начнут продавать адрес ETH, на котором находится токен, или принимать наличные в качестве оплаты, а затем переводить токен бесплатно). Что касается владения самостоятельными цифровыми активами или физическими объектами, там, безусловно, есть потенциал, но сейчас NFT в этой сфере юридически бесполезны. Да, NFT также отлично подходят для отмывания денег, поскольку, если вы покупаете какую-то чушь, например, коллекционную фотографию шляпы в Интернете, невозможно сказать, что вы переплатили, так как разброс цен на NFT огромен, а сами цены — произвольны. "
/ru/post/579908/,"blockchain,nft","Криптовалюты,Распределённые системы",True,,dedstriger,25,0,0,2000,37,"Non-fungible token (NFT) или невзаимозаменяемый токен – это криптографический токен, являющейся производной от смарт контрактов в Ethereum. Его основная уникальность от других крипто токенов вроде биткойна в том, что один NFT нельзя заменить другим. Каждый NFT это полностью уникальный токен, который присоединяется к конкретному цифровому файлу, что в таком случае делает файл уникальным. Даже если попытаться копировать этот файл NFT не скопируется и останется у первоначального файла, таким образом делая его оригиналом. NFT нельзя разделить или заменить, его можно сравнить с полностью уникальным предметом в реальном физическом мире.Впервые NFT появился в 2017 году в сеть Ethereum в качестве игры «Криптокотики» (Crypto Kitties), в ней можно растить и разводить криптовалюту в виде котов. Отдельный криптокотик — олицетворение механики NFT. Его нельзя разделить, он обладает уникальным номером, геномом из 256-битной ДНК и 12 атрибутами, которые можно передать потомкам — цвет глаз, форму рта и прочее. В NFT вшита информация о создателе криптокотика, а также о его виртуальных отпрысках. В 2018 году самый дорогой криптокотик был продан за $140 тыс.Но настоящий бум NFT произошел в начале 2021 года. С декабря 2020 по февраль 2021 общий объем продаж с NFT поднялся с 12 до 340 миллионов долларов США.  Это связанно с тем, что деятели искусства и пользователи сети стали увидели новые возможности продажи своих работ благодаря NFT. NFT решил основную проблему людей занимающимся цифровым искусством. Это проблема подтверждения подлинности объекта искусства. Если рассматривать NFT с точки зрения блокчейна то, это реестровая запись, несущая в себе определенный набор инструкции и прав владельца. Таким образом приобретая файл с прикрепленным к нему NFT, вы также приобретаете все права на него, и удостоверяетесь в оригинальности файла.Это происходит на специальных платформах, работающих с NFT. Есть несколько популярных площадок — например, Rarible, Mintable, OpenSea. Последняя — самая крупная. Все они являются одновременно NFT-маркетплейсами и NFT-мастерскими. Для создания токена понадобится кошелек в системе Ethereum а также файл с цифровым контентом. Обычно алгоритм действий похож на работу с виртуальным фотоальбомом. Просто создаете коллекцию и добавляете в нее файлы в любом из доступных форматов — от PNG до MP4. Каждому файлу нужно придумать название и, желательно, описание. Передать уникальный токен на другой Ethereum-адрес, вне зависимости, принадлежит он тому же человеку или другому, возможно только по процедурам обработки смарт-контрактов, что подразумевает уплату системе комиссии.Самой крупной NFT продажей на май 2021 года является продажа 11 марта 2021 года в аукционном доме Christie’s jpg файла со склеенными вместе 5000 работами художника Beeple под названием «Everydays: The first 5000 days», работа была продана  за 69,3 миллиона долларов США. В России самым успешным NFT является Покрас Лампас суммарно он продал NFT на более чем 300 000 долларов США. Такая активность художников вызвала интерес NFT у коллекционеров, и они начали скупать все что имеет отношение к NFT. Это привело к тому, что люди начали продавать популярные твиты, фрагменты популярных видео и любой другой цифровой контент.Но если NFT начало свой путь как, по сути, игрушка для коллекционеров и шанс на заработок для художников, то сейчас в NFT видят перспективное решение по защите интеллектуальной собственности и регулированию оборота и ценообразованию на цифровые товары. Это становится возможным, так как NFT не только подтверждает оригинальность файла, но и несет в себе информацию о его свойствах, которая также не поддается разделению или копированию.Технически NFT ничем не отличается от других криптотокенов. В его работе также участвуют блокчейн, смарт контракты, кодирование и адреса. Чаще всего в своей работе NFT полагается на смарт контракты, поэтому преимущественно работает в сети Ethereum и все транзакции происходят в валюте ETH. Если кто-то заявляет, что владеет интеллектуальной собственностью на основе NFT, он, по сути, владеет оригинальной частью шестнадцатеричных значений, подписанных создателем. Другие могут свободно копировать необработанные данные, но не могут претендовать на право собственности. Исходя из этого, мы можем заметить, что связанные с NFT действия (покупка, продажа, торговля, аукцион) должны обрабатываться в соответствии с аналогичной базовой процедурой обработки смарт-контрактов.Создание NFT требует наличие базового распределенного реестра для записей и транзакций. Система NFT включает в себя наличие двух узлов, выполняющих роли владельца и покупателя. Процесс создание NFT можно описать следующим алгоритмом:Оцифровка данных. Владелец проверяет соответствие файла, заголовка и описания. После чего он приводит необработанные данные в надлежащий формат.Хранение. Владелец хранит данные на внешней базе данных вне блокчейна. Также ему доступно хранение в блокчейне, но за это как правило взымается газ, поэтому такой возможностью мало кто пользуется.Подпись данных. Владелец подписывает транзакцию, включая хеш. После чего транзакция отправляется в смарт кнтракт. Чекана и торговля NFT. После того как смарт контракт получит транзакцию происходит чекан NFT и его торговля.Подтверждение NFT.Каждый раз, когда чеканится или продается NFT, требуется отправить новую транзакцию для вызова смарт-контракта. После подтверждения транзакции NFT метаданные и сведения о владельце добавляются в новый блок, тем самым гарантируя, что история NFT остается неизменной, а право собственности сохраняется. Если попытаться визуализировать всю систему NFT, то получится схема, представленная на рисунке 6.Рис. 6 схема NFT системы.За свою не долгую историю NFT успел обзавестись стандартами, описывающими правила использования токенов в децентрализованных приложениях. На данный момент таких стандарта три ERC-20, ERC-721, ERC-1155. Стандарты отличаются схемами распространения токенов и уровнем их взаимозаменяемости. ERC – 20 предполагает что все токены взаимозаменяемы. ERC-721 предполагает, что все токены не взаимозаменяемы. Это унаследованный стандарт смарт-контрактов solidity. Его пользователи могут создавать новые совместимые с ERC-721 контракты. ERC – 1155 предполагает наличие полузаменяемых токенов, он представлят различные настраиваемые типы токенов. На рисунке 7 изображены схемы реализаций этих стандартов.Рис. 7 схема реализаций стандартов NFT.Децентрализованные приложения, реализующие систему NFT, должны удовлетворять следующим требованиям:Проверяемость.  NFT с его метаданными токена и владельцем может быть проверено кем угодно из вне.Прозрачность. Данные о продаже, чеканке и покупки NFT общедоступны.Доступность. Система NFT никогда не выходит из строя. В качестве альтернативы все токены выпущенные NFT всегда доступны для продажи и покупки.Защищенность. Метаданные NFT и их торговые записи постоянно хранятся и не могут быть изменены после того, как транзакции будут признаны подтвержденными.Атомарность. Торговля NFT может быть завершена одной атомарной, согласованной, изолированной и устойчивой транзакцией. NFT могут работать в одном и том же общем состояние исполнения.Помимо торгов предметами искусства NFT начинают использовать в других сферах. Так компания Nike запатентовала систему CryptoKiks, предназначенную для проверки подлинности кроссовок, кроссовки компании nike являются самыми подделываемыми в   мире.  Еще одним примером можно привести австрийскую почтовую службу и их проект Crypto Stamp. Это почтовые марки, привязанные к токенам. Их используют для отметки реальных почтовых отправлений. При этом каждая марка сохраняется и может быть частью цифровой коллекции."
